VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-12-04 13:56:59,2016-12-04 14:02:07,2,.80,1,N,238,239,1,6,0,0.5,1.35,0,0.3,8.15
1,2016-12-19 17:00:08,2016-12-19 17:10:36,1,1.10,1,N,142,237,1,8,1,0.5,1.95,0,0.3,11.75
1,2016-12-29 11:04:19,2016-12-29 11:24:53,1,2.30,1,N,229,43,2,14.5,0,0.5,0,0,0.3,15.3
2,2016-12-28 13:42:20,2016-12-28 14:08:26,1,1.65,1,N,228,228,1,16,0,0.5,3.36,0,0.3,20.16
1,2016-12-06 23:32:31,2016-12-06 23:46:15,1,1.80,1,N,158,164,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2016-12-27 01:43:20,2016-12-27 01:46:58,1,.70,1,N,231,87,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2016-12-13 19:16:12,2016-12-13 19:22:48,1,1.20,1,N,162,107,1,6.5,1,0.5,1.66,0,0.3,9.96
2,2016-12-10 16:29:18,2016-12-10 17:02:47,5,1.73,1,N,107,45,1,20,0,0.5,2,0,0.3,22.8
2,2016-12-27 09:50:40,2016-12-27 10:22:29,1,17.02,2,N,132,162,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2016-12-09 10:22:27,2016-12-09 10:32:51,1,1.80,1,N,151,152,1,9.5,0,0.5,2.05,0,0.3,12.35
1,2016-12-06 21:58:00,2016-12-06 22:01:30,1,.60,1,N,75,75,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-12-05 22:24:55,2016-12-05 22:54:51,1,19.30,2,N,132,236,1,52,0,0.5,11.65,5.54,0.3,69.99
2,2016-12-09 10:58:18,2016-12-09 11:05:41,1,.80,1,N,68,158,1,6,0,0.5,1,0,0.3,7.8
2,2016-12-24 17:41:04,2016-12-24 17:41:55,6,.26,1,N,158,158,2,3,0,0.5,0,0,0.3,3.8
2,2016-12-22 23:59:06,2016-12-23 00:07:17,1,1.44,1,N,234,144,1,7.5,0.5,0.5,1.08,0,0.3,9.88
1,2016-12-14 16:30:40,2016-12-14 16:37:22,2,1.20,1,N,186,113,2,6.5,1,0.5,0,0,0.3,8.3
1,2016-12-06 13:10:04,2016-12-06 13:20:25,1,1.50,1,N,163,239,2,8.5,0,0.5,0,0,0.3,9.3
2,2016-12-03 13:38:11,2016-12-03 13:51:02,2,.69,1,N,233,161,2,9,0,0.5,0,0,0.3,9.8
2,2016-12-06 13:40:22,2016-12-06 13:53:16,1,1.58,1,N,246,170,1,10,0,0.5,2.16,0,0.3,12.96
2,2016-12-13 17:33:54,2016-12-13 17:50:58,2,1.13,1,N,170,233,1,11,1,0.5,2.56,0,0.3,15.36
2,2016-12-29 15:22:23,2016-12-29 15:27:01,2,.59,1,N,48,43,2,5,0,0.5,0,0,0.3,5.8
2,2016-12-05 11:45:46,2016-12-05 12:07:43,2,5.66,1,N,88,161,1,21.5,0,0.5,4.46,0,0.3,26.76
2,2016-12-03 16:26:02,2016-12-03 16:30:05,3,.31,1,N,113,249,2,4.5,0,0.5,0,0,0.3,5.3
2,2016-12-02 22:57:00,2016-12-02 23:26:51,1,17.12,2,N,132,170,1,52,0,0.5,5,5.54,0.3,63.34
1,2016-12-19 08:16:16,2016-12-19 08:26:27,1,.90,1,N,48,186,1,8,0,0.5,2,0,0.3,10.8
1,2016-12-08 20:03:19,2016-12-08 20:11:45,1,1.50,1,N,142,238,2,8,0.5,0.5,0,0,0.3,9.3
2,2016-12-23 13:08:08,2016-12-23 13:21:15,1,2.40,1,N,161,239,1,11,0,0.5,2.36,0,0.3,14.16
1,2016-12-19 22:05:22,2016-12-19 22:13:23,1,1.90,1,N,211,137,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2016-12-30 12:42:39,2016-12-30 12:47:20,2,.50,1,N,239,239,1,5,0,0.5,1.15,0,0.3,6.95
2,2016-12-19 20:35:56,2016-12-19 20:45:24,2,1.61,1,N,186,233,1,8,0.5,0.5,1.58,0,0.3,10.88
1,2016-12-24 12:12:49,2016-12-24 12:17:05,1,.80,1,N,236,75,1,5,0,0.5,1.15,0,0.3,6.95
1,2016-12-28 11:39:23,2016-12-28 11:57:17,4,1.40,1,N,162,163,1,12,0,0.5,2.56,0,0.3,15.36
2,2016-12-07 22:53:15,2016-12-07 23:02:14,3,.91,1,N,48,50,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-12-17 17:00:12,2016-12-17 17:09:01,3,2.57,1,N,141,74,1,9.5,0,0.5,2.58,0,0.3,12.88
1,2016-12-12 22:10:34,2016-12-12 22:15:59,1,1.20,1,N,170,107,1,6,0.5,0.5,3.5,0,0.3,10.8
1,2016-12-26 23:08:13,2016-12-26 23:13:53,3,.70,1,N,144,211,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-12-03 01:25:43,2016-12-03 01:28:54,1,.38,1,N,79,79,1,4,0.5,0.5,0.5,0,0.3,5.8
1,2016-12-21 22:05:49,2016-12-21 22:14:15,2,1.00,1,N,232,231,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2016-12-20 02:05:01,2016-12-20 02:08:38,2,.67,1,N,100,68,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-12-14 22:54:48,2016-12-14 23:03:55,1,2.42,1,N,249,13,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,2016-12-17 17:04:54,2016-12-17 17:09:08,2,.80,1,N,50,142,2,5,0,0.5,0,0,0.3,5.8
1,2016-12-24 15:54:38,2016-12-24 16:07:04,1,2.00,1,N,163,263,1,10,0,0.5,2.7,0,0.3,13.5
1,2016-12-20 18:57:57,2016-12-20 19:12:10,2,1.80,1,N,234,45,1,10.5,1,0.5,3.65,0,0.3,15.95
1,2016-12-10 13:07:05,2016-12-10 13:34:44,2,3.40,1,N,50,79,1,18.5,0,0.5,1,0,0.3,20.3
2,2016-12-17 12:06:42,2016-12-17 12:17:44,1,.92,1,N,107,186,2,8,0,0.5,0,0,0.3,8.8
1,2016-12-08 21:43:22,2016-12-08 21:48:13,2,1.40,1,N,162,236,1,6.5,0.5,0.5,1,0,0.3,8.8
